lc1	NarrowSubject	BenSubject	classification
AC	Collections. Series. Collected works	General and Reference	AC Collections. Series. Collected works
A	GENERAL WORKS	General and Reference	A GENERAL WORKS
AE	Encyclopedias	General and Reference	AE Encyclopedias
AG	Dictionaries and other general reference works	General and Reference	AG Dictionaries and other general reference works
AI	Indexes	General and Reference	AI Indexes
AM	Museums. Collectors and collecting	General and Reference	AM Museums. Collectors and collecting
AN	Newspapers	General and Reference	AN Newspapers
AP	Periodicals	General and Reference	AP Periodicals
AS	Academies and learned societies	General and Reference	AS Academies and learned societies
AY	Yearbooks. Almanacs. Directories	General and Reference	AY Yearbooks. Almanacs. Directories
AZ	History of scholarship and learning. The humanities	General and Reference	AZ History of scholarship and learning. The humanities
B	PHILOSOPHY. PSYCHOLOGY. RELIGION	Philosophy	B PHILOSOPHY. PSYCHOLOGY. RELIGION
BC	Logic	Philosophy	BC Logic
BD	Speculative philosophy	Philosophy	BD Speculative philosophy
BF	Psychology	Psychology	BF Psychology
BH	Aesthetics	Philosophy	BH Aesthetics
BJ	Ethics	Philosophy	BJ Ethics
BL	Religions. Mythology. Rationalism	Religion	BL Religions. Mythology. Rationalism
BM	Judaism	Religion	BM Judaism
BP	Islam. Bahaism. Theosophy, etc.	Religion	BP Islam. Bahaism. Theosophy, etc.
BQ	Buddhism	Religion	BQ Buddhism
BR	Christianity	Religion	BR Christianity
BS	The Bible	Religion	BS The Bible
BT	Doctrinal Theology	Religion	BT Doctrinal Theology
BV	Practical Theology	Religion	BV Practical Theology
BX	Christian Denominations	Religion	BX Christian Denominations
C	AUXILIARY SCIENCES OF HISTORY	History	C AUXILIARY SCIENCES OF HISTORY
CB	History of Civilization	History	CB History of Civilization
CC	Archaeology	History	CC Archaeology
CD	Diplomatics. Archives. Seals	History	CD Diplomatics. Archives. Seals
CE	Technical Chronology. Calendar	History	CE Technical Chronology. Calendar
CJ	Numismatics	History	CJ Numismatics
CN	Inscriptions. Epigraphy	History	CN Inscriptions. Epigraphy
CR	Heraldry	History	CR Heraldry
CS	Genealogy	History	CS Genealogy
CT	Biography	History	CT Biography
D	WORLD HISTORY	History	D WORLD HISTORY
DA	Great Britain	History	DA Great Britain
DAW	Central Europe	History	DAW Central Europe
DB	Austria - Liechtenstein - Hungary - Czechoslovakia	History	DB Austria - Liechtenstein - Hungary - Czechoslovakia
DC	France - Andorra - Monaco	History	DC France - Andorra - Monaco
DD	Germany	History	DD Germany
DE	Greco-Roman World	History	DE Greco-Roman World
DF	Greece	History	DF Greece
DG	Italy - Malta	History	DG Italy - Malta
DH	Low Countries - Benelux Countries	History	DH Low Countries - Benelux Countries
DJ	Netherlands (Holland)	History	DJ Netherlands (Holland)
DJK	Eastern Europe (General)	History	DJK Eastern Europe (General)
DK	Russia. Soviet Union. Former Soviet Republics - Poland	History	DK Russia. Soviet Union. Former Soviet Republics - Poland
DL	Northern Europe. Scandinavia	History	DL Northern Europe. Scandinavia
DP	Spain - Portugal	History	DP Spain - Portugal
DQ	Switzerland	History	DQ Switzerland
DR	Balkan Peninsula	History	DR Balkan Peninsula
DS	Asia	History	DS Asia
DT	Africa	History	DT Africa
DU	Oceania (South Seas)	History	DU Oceania (South Seas)
DX	Gypsies	History	DX Gypsies
E	HISTORY OF THE AMERICAS	History	E HISTORY OF THE AMERICAS
F	HISTORY OF THE AMERICAS	History	F HISTORY OF THE AMERICAS
G	GEOGRAPHY. ANTHROPOLOGY. RECREATION	Geography	G GEOGRAPHY. ANTHROPOLOGY. RECREATION
GA	Mathematical geography. Cartography	Geography	GA Mathematical geography. Cartography
GB	Physical geography	Geography	GB Physical geography
GC	Oceanography	Geography	GC Oceanography
GE	Environmental Sciences	Geography	GE Environmental Sciences
GF	Human ecology. Anthropogeography	Geography	GF Human ecology. Anthropogeography
GN	Anthropology	Geography	GN Anthropology
GR	Folklore	Geography	GR Folklore
GT	Manners and customs (General)	Geography	GT Manners and customs (General)
GV	Recreation. Leisure	Geography	GV Recreation. Leisure
H	SOCIAL SCIENCES	Sociology & Social Science	H SOCIAL SCIENCES
HA	Statistics	Sociology & Social Science	HA Statistics
HB	Economic theory. Demography	Economics	HB Economic theory. Demography
HC	Economic history and conditions	Economics	HC Economic history and conditions
HD	Industries. Land use. Labor	Economics	HD Industries. Land use. Labor
HE	Transportation and communications	Economics	HE Transportation and communications
HF	Commerce	Economics	HF Commerce
HG	Finance	Economics	HG Finance
HJ	Public finance	Economics	HJ Public finance
HM	Sociology (General)	Sociology & Social Science	HM Sociology (General)
