bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
70162	159508	ger		0	dassssegiftlus00wage	3187757	fr	1902	Strassburg	[s.n.]	s	NULL	NULL	Martin Wagener	5612	France	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
701151	348049	ita		0	manualediarcheol00scag	17869083	it	1911	Roma	F. Ferrari	Manuale di archeologia cristiana	NULL	NULL	Sisto Scaglia	NULL	Italy	NULL	NULL	NULL	NULL	NULL	NULL	ita	NULL
858314	1304081			0	bengalin175657se01hilluoft	0	enk	1905	London	Murray	Bengal in 1756-57	1857	NULL	Samuel Charles Hill	213618	UK	NULL	48	NULL	NULL	NULL	NULL	eng	1857
694301	1242999	fre		0	antonialgended00duja	0	fr	1899	Paris	Soci	Antonia	1861	NULL	Edouard Dujardin	NULL	France	NULL	38	NULL	NULL	NULL	NULL	fre	1861
568611	292680		BS2555 .R43 1870	0	lesvangileset00rena	0	fr	1870	Paris	Calmann-L	Les 	1823	NULL	Ernest Renan	124073	France	NULL	47	NULL	B	BS	2555	fre	1823
266022	1100120	cze		0	ceskhouby00vele	0	cs	1920	Praze	Cesk Botanick Spolecnosti	Cesk houby	1858	1920	Josef Velenovsk	193173	NULL	NULL	62	NULL	NULL	NULL	NULL	cze	1858
804516	348648	fre	F2586 .C855	4009722	voyageaucuminav00coudgoog	6415118	fr	1901	Paris	A. Lahure	Voyage au Cuminá	NULL	1901	Coudreau, O. Mme.	NULL	France	NULL	NULL	NULL	F	F	2586	fre	NULL
957641	1341714			0	lihungchang00douguoft	0	enk	1895	London	Bliss	Li Hungchang.	1838	NULL	Douglas, Robert Kennaway Sir	73632	UK	NULL	57	NULL	NULL	NULL	NULL	eng	1838
815906	952975	eng	CR1612 .R4	5042736	heraldryinengla00rentgoog	7489529	nyu	1889	New York	J.W. Bouton	Heraldry in England.	NULL	1887	Edward H. Renton	11939	USA	NY	NULL	NULL	C	CR	1612	eng	NULL
970149	422829		PS1532 E6 1907	0	encoredela00delauoft	0	nyu	1907	New York	Harper	Encore	1857	1907	Margaret Wade Campbell Deland	12928	USA	NY	50	NULL	P	PS	1532		1857
543892	21205	eng		0	cu31924020388801	7305361	nyu	1909	New York	R. Macoy	Sacred mysteries among the Mayas and the Quiches, 11,500 years ago.	1826	NULL	Augustus Le Plongeon	37453	USA	NY	83	NULL	NULL	NULL	NULL	eng	1826
